,comment_text,comment_party,comment_name,interrupted_speaker_party,interrupted_speaker,date,speech_id,preceding_context,sentiment
278483,Das macht doch überhaupt niemand! Was fällt Ihnen ein!,GRÜNE,Dr. Anton Hofreiter,GRÜNE,Britta Haßelmann,2014-02-20,124551,"]: Sie hat es doch gerade vorgelesen!)  – Nun hören Sie einmal zu! – Aber ich will schon sagen, dass ich es tatsächlich problematisch finde – das habe ich eben auch ausgeführt –, dass Kräfte wie die Swoboda- Partei als Teil des Oppositionsbündnisses in der Ukraine akzeptiert und toleriert werden.  (",1
232174,7 Prozent!,DIE LINKE,Matthias W. Birkwald,CDU/CSU,Gitta Connemann,2011-02-24,104497,"ngen] [SPD]: Das sagt aber nichts über die Qualifikation der Menschen aus!) Bei diesen 100 000 handelt es sich um Langzeitarbeitslose oder solche, die zuvor noch nie eine Beschäftigung hatten. Ich bitte Sie, auch Folgendes zur Kenntnis zu nehmen: Zeitarbeit baut Brücken in den ersten Arbeitsmarkt. (",0
208643,Was? Das glauben Sie doch selber nicht!,GRÜNE,Markus Kurth,FDP,Dr. Daniel Volk,2009-12-18,96382,"d soziale Steuerpolitik. (Beifall bei der FDP – Lachen der Abg.  Nicolette Kressl [SPD]) Bei der Erhöhung des Kindergeldes und der Kinderfreibeträge wurde übrigens von allen Sachverständigen darauf hingewiesen, dass diese Maßnahmen insbesondere den Schichten mit niedrigen Einkommen zugute kommen.  (",1
276375,"Wo waren Sie die  letzten Wochen? Eingefroren im Eis, oder  was?",GRÜNE,Omid Nouripour,CDU/CSU,Markus Grübel,2013-09-02,123395,"nachdem ihr die Probleme geschildert wurden. Insbesondere der Opposition möchte ich sagen: Mit  dem ständigen Versuch, auf Kosten der Bundeswehr  Wahlkampf zu machen, trägt die Opposition nicht zu der  Ruhe bei, die unsere Truppe braucht.(C) (Beifall bei der CDU/CSU sowie bei Abgeordneten der FDP – ",0
356452,Dann können wir es auch lassen!,AfD,Dr. Alexander Gauland,SPD,Saskia Esken,2019-10-23,161202,"nen unliebsam sind, (Zuruf von der AfD: Das ist doch Schwachsinn!) die schwarze Listen mit Namen von Journalisten aufstellt, die unliebsame Meinungen äußern, rede ich gar nicht über die Meinungsfreiheit. (Beifall bei der SPD und dem GRÜNE sowie bei Abgeordneten der CDU/CSU, der FDP und der LINKEN – ",0
101442,Sie sollten sich von Ihrem Referenten nicht so einseitig informieren lassen!,FDP,Ina Lenke,SPD,Antje-Marie Steen,2001-11-27,55310,"ung einen wesentlichen Sprung nach vorn gemacht. Allein die steuerlichen Auswirkungen familienpolitischer Maßnahmen werden in 2002 insgesamt 52,3 Milliarden Euro für die Familienförderung ausmachen. (Beifall bei der SPD und dem GRÜNE) Zur Erinnerung: 1997 waren es gerade einmal 39 Milliarden Euro. (",0
102214,"Nein, nein!",FDP,Dirk Niebel,GRÜNE,Ekin Deligöz,2001-11-29,55389,"lichen Anspruch zu verankern, also das Recht auf Teilzeit für Eltern, heißt nicht, dass Frauen diskriminiert werden oder keine Stellen bekommen, wie Sie immer behaupten. Es heißt auch nicht, dass es zum Abbau von Stellen geführt hat – das ist Ihre Interpretation, für die Sie keinen Beweis haben –, (",1
398475,Aha!,FDP,Dr. Marie-Agnes Strack-Zimmermann,DIE LINKE,Dr. Gregor Gysi,2022-05-19,183205,"n der AfD) Die Taliban sind heute stärker denn je. Nichts von dem, was die Bundeswehr dort schaffen wollte, hat Bestand. Wann wollen Sie eigentlich die anderen Einsätze beenden? (Dr. Marie-Agnes Strack-Zimmermann [FDP]: Jetzt kommt’s!) Weil wir jetzt ja mal grundsätzlich darüber nachdenken müssen. (",0
299561,Wer zahlt?,GRÜNE,Sylvia Kotting-Uhl,CDU/CSU,Jens Koeppen,2015-10-16,134544,"die Kosten ja so viel!) Diese Energieform ist verfügbar, grundlastfähig und auch regelbar. Auf der anderen Seite – da haben Sie natürlich recht, deswegen gibt es den Konsens über den Ausstieg – gibt es die Frage: Was ist mit dieser Risikotechnologie? Vor allen Dingen – das ist besonders wichtig –: (",0
151360,Eine tolle Sache!,SPD,Franz Müntefering,CDU/CSU,Ronald Pofalla,2005-02-17,70489,"fort mit uns gemeinsam bekämpft werden kann.  (Beifall bei Abgeordneten der CDU/CSU) Herr Müntefering, haben Sie die Kraft, die in Ihrer Fraktion vorhandenen Gewerkschaftsinteressen hintanzustellen(Franz Müntefering [SPD]: Ein Zehnpunkte- Pofalla!) und dieses Konzept mit uns gemeinsam umzusetzen.  (",2
231072,Das ist doch unanständig!,DIE LINKE,Dr. Petra Sitte,FDP,Patrick Kurth,2011-02-10,104124,"an zur Kenntnis nehmen. Das müssen Sie, wenn es um Fragen von Schuld und Ähnlichem geht, mit berücksichtigen. Ich hatte schon beim letzten Mal das Gefühl und habe es dieses Mal wieder, dass Sie hier einen persönlichen Igel bürsten wollen und dazu die Plenardebatte des Deutschen Bundestages nutzen. (",1
277503,"Seit wann regieren Sie denn, Frau Hasselfeldt? Seit acht Jahren!",GRÜNE,Britta Haßelmann,CDU/CSU,Gerda Hasselfeldt,2014-01-29,123982,"r Energiewende. Das ist vorhin schon mehrfach angesprochen worden. Was machen wir in diesem Bereich? Wir nehmen im Endeffekt eine Reparatur dessen vor, was insbesondere von den Grünen forciert wurde. Sie haben sich nämlich damals überhaupt nicht um den Netzausbau und den Speicherausbau gekümmert.  (",0
238829,Nein!,CDU/CSU,Volker Kauder,FDP,Gabriele Molitor,2011-07-07,107397,"an dieser Stelle nicht über Motivlagen urteilen. Ich möchte diejenigen gewinnen, die sich noch nicht entschieden haben, indem ich sie teilhaben lasse an dem Weg, wie ich meine Entscheidung getroffen habe. Darf ich als behindertenpolitische Sprecherin meiner Fraktion für die Zulassung der PID sein? (",1
407408,"Deutschland ein Jahr nach der Wahl! Klarheit und Führung, und zwar in Deutschland! Reden Sie mal zum Thema!",CDU/CSU,Peter Beyer,SPD,Dr. Lars Castellucci,2022-09-30,186171,"DU/CSU]: Ja, wo ist denn Ihre? Wer im Glashaus sitzt, sollte nicht mit Steinen werfen!) – Sie haben diese Debatte hier beantragt. Am Wochenende hatten wir Wahlen in Italien. Dort kommen nun wahrscheinlich Postfaschisten an die Regierung, Menschen, die sagen, dass sie auf den Faschismus stolz sind. (",0
414896,Jetzt ist aber Schluss! Unfug!,SPD,Marianne Schieder,AfD,Kay Gottschalk,2022-12-02,188490,"Demokratie tut weh, insbesondere wenn Sie sich immer so demokratisch verhalten und keine Zwischenfragen meiner Fraktion zulassen. (",1
258520,Ich komme nachher darauf zurück!,FDP,Dr. Erik Schweickert,SPD,Ulrich Kelber,2012-09-13,115407,"im Bundestag, (Dr. Erik Schweickert [FDP]: Bundesrat!) da die SPD eine Mehrheit im Bundesrat hat? Die SPD  hat diesen falschen Entwurf angehalten. Jetzt haben wir  die Chance, daraus einen guten zu machen. Vielen Dank  für die Erinnerung. Dieses Stichwort hatte ich vergessen. (Beifall bei der SPD – ",0
77628,So ein  Marktschreier!,CDU/CSU,Siegfried Hornung,SPD,Ludwig Stiegler,2000-02-17,46720,"gefordert, nicht die scheinheiligen  Brüder, die sich an der Macht festklammern, die sich mit  Schwarzgeld wählen lassen.  (Zuruf von der CDU/CSU: Aufhören!)  – Das hätte ich mir denken können, dass man aufhören  soll, wenn man Ihnen die Wahrheit sagt.   (Zuruf von der CDU/CSU: Alles Unwahrheit!  – ",1
390053,Was für ein Unsinn!,FDP,Graf Lambsdorff,AfD,Rüdiger Lucassen,2021-08-25,179070,"r Bundesregierung zustimmen. Mein Symbol ist die Rettung Deutscher aus großer Gefahr. Aber ich verstehe auch jene meiner Fraktionskolleginnen und Fraktionskollegen, die das Mandat ablehnen, weil sie darin bereits den Kern einer erneuten Flüchtlingswelle nach Deutschland und Europa sehen, (Alexander ",1
314909,Das ist Demokratie!,SPD,Sören Bartol,DIE LINKE,Sabine Leidig,2016-12-02,141673,"n Ordnung. Aber das ist das Mindeste, was Sie im Rahmen dieser abschließenden Beratung noch besser machen können. Sorgen Sie für ein Mindestmaß an politischer Korrektheit und demokratischer Haltung in diesem Punkt! Nicht mehr und nicht weniger fordern wir an dieser Stelle. (Beifall bei der LINKEN – ",0
303432,Woher wissen Sie das denn?,SPD,Niels Annen,DIE LINKE,Christine Buchholz,2016-01-28,136404,"EN) Was auffällt, Herr Gädechens, Herr Annen – der Punkt ist klar –, ist, dass die Haltung der malischen Bevölkerung weder bei der CDU noch bei der SPD Berücksichtigung findet. Der Grund dafür ist ganz einfach: Viele Malier stehen den Truppen feindlich gegenüber und haben jedes Vertrauen verloren. (",0
106717,Wie wollen Sie das im Bundesrat erreichen?,CDU/CSU,Hans-Peter Repnik,FDP,Dr. Max Stadler,2002-03-01,56584," für dieses Gesetz!) Nach unserer Meinung ist die Diskussion im Bundesrat noch nicht abgeschlossen. Wir wünschen uns, dass am Ende des langen Diskussionsprozesses doch noch ein  liberales, modernes Zuwanderungsgesetz zustande kommt. Vielen Dank. (Beifall bei der FDP sowie bei Abgeordneten der SPD – ",0
265595,"Diesen Redenschreiber  würde ich entlassen, und zwar frühestmöglich!",SPD,Elke Ferner,CDU/CSU,Heike Brehmer,2012-12-14,118324,"tsfern diese Rede!) Wir müssen unsere Altersvorsorge zukunftsfest machen. Eine nachhaltige Vorsorge muss auf drei Säulen  beruhen: erstens die gesetzliche Rentenversicherung, die  das Kernstück unserer Altersvorsorge ist, zweitens die  private Vorsorge und drittens die betriebliche Altersvorsorge. (",1
264481,Dabei ist es der dritte Versuch!,GRÜNE,von Notz,DIE LINKE,Dr. Petra Sitte,2012-11-29,117707,"roblemlose, technische  Möglichkeiten gibt, mit denen die Verlage ihre Veröffentlichungen wirksam vor Suchmaschinen schützen  könnten. (Dr. Günter Krings [CDU/CSU]: Alles oder  nichts!) Vor allem aber – das muss ich sagen, Herr Stadler – ist  das Gesetz denkbar schlampig formuliert. (Dr. Konstantin ",0
295441,Wir sind doch dabei! Wir sind auf dem Weg! Mannomann!,SPD,Dr. Karamba Diaby,GRÜNE,Brigitte Pothmer,2015-06-11,132558,"eigene Ministerin ein Sonderprogramm? Hat sie ihre Rolle nicht verstanden? Sie ist nicht Opposition, sie ist Regierung.  (Beifall der Abg. Katrin Göring-Eckardt [GRÜNE])  Sie soll keine Forderungen an sich selber stellen, sie soll machen, verdammt noch mal!  (Beifall beim GRÜNE und bei der LINKEN – ",0
68792,Was? Sie können nicht lesen!,CDU/CSU,Erwin Marschewski,GRÜNE,Cem Özdemir,1999-05-07,43205," wir auch bei denjenigen, die über den Rechtsanspruch eingebürgert werden, deutsche Sprachkenntnisse verlangen. Ich darf daran erinnern, daß wir für alle, die eingebürgert werden wollen, zukünftig das Erfordernis vorsehen, daß sie sich verfassungskonform verhalten. Das hatten Sie nicht vorgesehen. (",1
359318,Ja! Sie auch!,CDU/CSU,Gisela Manderla,DIE LINKE,Sevim Dağdelen,2019-11-14,162261,"b haben wir mit den Grünen zusammen hier einen Antrag eingebracht, um diese Killerexporte und diese Gesetzeslücken endlich zu beenden. (Alexander Graf Lambsdorff [FDP]: Polemik! Billige Polemik!) Hören Sie auf, Bundestag und Öffentlichkeit zu belügen. (Dr. Karl-Heinz Brunner [SPD]: Hören Sie auf! – ",0
222690,Ja!,FDP,Heinz Lanfermann,GRÜNE,Fritz Kuhn,2010-09-30,100985,"nkt: Weil es viele Menschen gibt, die dieses Einkommen nicht haben, sind sie auf eine funktionierende Solidarität zur Herstellung dieser Sicherheit angewiesen. (Beifall beim GRÜNE sowie bei Abgeordneten der SPD – Beifall bei der CDU/CSU sowie bei Abgeordneten der FDP) – Da gehen Sie auch noch mit. (",2
456737,Haben sie doch!,CDU/CSU,Stephan Stracke,GRÜNE,Andreas Audretsch,2024-03-21,201604,"t solche Sachen reinkommen, wie Sie sie vorschlagen. Uns Grünen ist am Ende wichtig, dass auch mit einer Bezahlkarte Integration vor Ort gelingen kann. (Beifall bei Abgeordneten des GRÜNE) Kinder und Jugendliche müssen so viel Taschengeld haben, um sich ein Brötchen zu kaufen. (Beifall beim GRÜNE – ",0
181373,Da haben Sie recht!,SPD,Volker Kröning,FDP,Ernst Burgbacher,2007-09-20,82999,"üssen wir den Ländern die Instrumente geben, die das politisch überhaupt ermöglichen. Die Länder brauchen dann Gestaltungsmöglichkeiten auf der Einnahmenseite. Wenn wir den Ländern keine Steuerautonomie einräumen, wird jede Lösung von vornherein zum Scheitern verurteilt sein. (Beifall bei der FDP  ",2
297291,Es gab sie vorher schon!,GRÜNE,Hans-Christian Ströbele,CDU/CSU,Dr. Volker Ullrich,2015-09-08,133556,"ses Jahres den § 46 des Strafgesetzbuches reformiert und deutlich gemacht, dass rassistische, fremdenfeindliche und sonstige menschenverachtende Beweggründe strafschärfend zu berücksichtigen sind. Einige haben damals angeführt, das sei doch nur Symbolpolitik, man bräuchte diese Regelung gar nicht. (",0
395413,Gruppenanträge sind ein ganz normales parlamentarisches Verfahren!,GRÜNE,Dr. Irene Mihalic,CDU/CSU,Nina Warken,2022-04-07,181792,"schenswert gewesen, wenn die Debatte und das Verfahren in dieser wichtigen Frage anders gelaufen wären. Stattdessen ist ein gewisses Wirrwarr entstanden. (Leni Breymaier [SPD]: Das Wirrwarr heißt CDU!) Das Wirrwarr hat begonnen, als sich die Regierungsfraktionen in Gruppenanträge geflüchtet haben, (",0
371133,"Besser nicht so, wie Sie es wollen!",SPD,Ulli Nissen,AfD,Dr. Alice Weidel,2020-06-18,167659,"Luft zum Atmen haben. (Beifall bei der AfD) Und drittens und vor allem: Nein zu neuen Milliardentransfers und Haftungsrisiken, mit denen deutsches Volksvermögen für Euro-Rettung und Transferunion verpfändet wird. Handeln Sie bitte im Interesse dieses Landes und seiner Bürger, Frau Bundeskanzlerin, (",0
100033,Das müssen Sie gerade sagen!,SPD,Rudolf Bindig,CDU/CSU,Michael Glos,2001-11-08,54862,"worden ist. (Rudolf Bindig [SPD]: Es ist zum Aus-dem- Saal-Treiben, wie Sie hier rumreden!) Zweitens. Herr Bundeskanzler, ich fand, es gab wieder eine unsägliche Rede von der PDS. Die PDS wird von Ihnen, was Information und Einbeziehung ins Parlament angeht, noch immer gleichberechtigt behandelt.  (",0
379641,Hört! Hört!,SPD,Ulli Nissen,SPD,Dr. Martin Rosemann,2020-12-08,172215,"hen, sie sei zu wenig ambitioniert. Herr Zickenheiner, ich möchte Sie einmal fragen: Wie erklären Sie sich dann eigentlich, dass Baden-Württemberg, wo die Grünen seit 2011 regieren, den Ministerpräsidenten und den Umweltminister stellen, bei Erreichung der Klimaziele deutlich hinter dem Bund liegt (",0
257763,Haben Sie als  Wirtschaftsminister außer vordergründiger  Polemik noch etwas anderes zu bieten?,SPD,Thomas Oppermann,FDP,Dr. Philipp Rösler,2012-06-29,115115,"ie erklärten  Wachstumsfeinde, die Grünen hier im Hause, (Claudia Roth [Augsburg] [GRÜNE]: Nein, das haben Sie falsch verstanden!) plötzlich von Wachstum reden, ja sogar Wachstum fordern, Frau Roth. Ich finde, das ist die eigentliche Ironie  am heutigen Tage. (Beifall bei der FDP und der CDU/CSU –  ",1
353265,Bloß keine Zensur! Darum geht es!,AfD,Hansjörg Müller,SPD,Martin Rabanus,2019-06-27,159679," man dann ein funktionierendes, modernes Urheberrecht ablehnt. (Hansjörg Müller [AfD]: Es geht uns um die Zensur, das wissen Sie ganz genau!) Sie wollen für diesen Bereich keine Planbarkeit. Sie wollen keine vernünftigen Rahmenbedingungen. Sie wollen eben auch keine vernünftigen Vergütungssysteme. (",0
148580,Hört!  Hört!,CDU/CSU,Annette Widmann-Mauz,CDU/CSU,Hannelore Roedel,2004-12-02,69507,"ngsmittel gekürzt. Als Resultat dieser Kürzungen mussten die Anbieter von Weiterbildungsmaßnahmen Personal entlassen – überwiegend weibliches, versteht sich. Auch bei der Vergabe von Weiterbildungsgutscheinen werden Männer als so genannte teure Arbeitslose bevorzugt und die Frauen kommen zu kurz.  (",0
410149,„Terrorist/,CDU/CSU,Florian Hahn,CDU/CSU,David Wadephul,2022-10-21,187053,"sverantwortung!) Es ist schon auffällig, dass Sie jetzt auf einmal zu der Erkenntnis kommen, wie wichtig dieses Mandat ist. Das ist in den vergangenen Jahren nicht geschehen. (Zuruf der Abg. Agnieszka Brugger [GRÜNE]) Es war schon immer, Frau Kollegin Brugger, wichtig, gegen Terroristen zu kämpfen (",1
424625,Absurd!,AfD,Andreas Bleck,DIE LINKE,Ralph Lenkert,2023-03-31,191558,"ker voraus: Das wird Probleme geben. (Stephan Brandner [AfD]: Ach!) Denn die Netzbetreiber setzen bei den Importen auf die alten französischen Atomkraftwerke, die dann noch 20 Jahre älter sind. Das ist unverantwortlich. (Beifall bei der LINKEN – Stephan Brandner [AfD]: So ein hilfloses Gestammel! – ",1
100280,Die Defizite haben Sie erst geschaffen!,SPD,Jörg Tauss,FDP,Cornelia Pieper,2001-11-08,54918,"Frau Präsidentin! Meine Damen und Herren! Lieber Kollege Simmert, Sie haben gesagt, die alte Koalition habe es nicht erreicht, die Defizite beim Meister-BAföG abzubauen.  (",1
157965,Alle nicht!,GRÜNE,Hans-Christian Ströbele,CDU/CSU,Peter Götz,2005-06-17,72492," sehr geehrten Damen und Herren! Die Zeichen der Sternsinger mit Graffitischmierereien zu vergleichen, Herr Staatssekretär, ist unerhört. Sie sollten diesen Vergleich sofort zurücknehmen. (Beifall bei der CDU/CSU und der FDP) Die heute zu treffende Entscheidung – darüber sind wir uns alle einig –  (",0
45071,Das ist doch ein  Vorwurf!,FDP,Dr. Werner Hoyer,SPD,Michael Müller,1996-05-09,29161,"t mein Problem; wie sollte auch jeder  etwas davon verstehen -: Seien Sie nicht so - -  (Dr. Werner Hoyer [FDP]: Hat Ihnen schon  einmal jemand gesagt, daß Sie arrogant  sind?)  - Nein, Entschuldigung, das ist so; nicht jeder kann  etwas von allem verstehen. Das ist gar nicht als Vorwurf gemeint.  (",0
444489,Kürzungen!,DIE LINKE,<unknown>,CDU/CSU,Alexander Föhr,2023-11-15,198083,"PD, FDP und Grüne versprochen, die institutionelle Förderung des Deutschen Akademischen Austauschdienstes und der Alexander-von-Humboldt-Stiftung jährlich um 3 Prozent zu erhöhen. Doch was plante die Bundesregierung für das Jahr 2023, in Zeiten enormer Inflation und steigender Lebenshaltungskosten? ",0
240423,Gute Zeit!,GRÜNE,Kai Gehring,SPD,Swen Schulz,2011-09-08,108000,"die Wissenschaftler, die Bürgerinnen und Bürger. Die Menschen wünschen sich, dass wir im Bereich der Bildung einen ordentlichen Sprung nach vorne machen. (Anette Hübinger [CDU/CSU]: Genau!  6 Milliarden!) Ich will Ihre Bilanz mit der der Regierungszeit von Rot-Grün vergleichen. Wie war das damals? (",2
347014,Das war vor dem Urteil!,FDP,Markus Herbrand,GRÜNE,Stefan Schmidt,2019-03-21,156819,ian Brehm [CDU/CSU]: Dann gehen doch die Mieten rauf! Grüner Sozialismus!) Noch ein paar Sätze zur FDP. So ganz sicher sind Sie sich mit Ihrem Modell der Flächensteuer offensichtlich doch nicht. Sonst hätte Ihr Bundesvorstand 2016 kaum den Beschluss „Grundsteuer zukunftsfähig reformieren“ gefasst. (,0
296860,Sie haben nichts geändert!,GRÜNE,Hans-Christian Ströbele,SPD,Burkhard Lischka,2015-07-03,133332,"ngesprochene Kritik an § 23 des Gesetzentwurfs befindet sich auf Seite 4, zweiter Absatz des Änderungsantrags;  (Irene Mihalic [GRÜNE]: Das ist aber die Begründung! Lesen Sie doch mal im Gesetz nach! – Hans-Christian Ströbele [GRÜNE]: Zitieren Sie mal ganz genau!)  nach unserer Lesart jedenfalls.  (",0
442063,Weil der gerade ausgelaufen ist!,CDU/CSU,Tilman Kuban,GRÜNE,Stefan Gelbhaar,2023-10-19,197285,"sind definiert, übrigens deutlich über die Sparte Pkw hinaus. In dem Masterplan geht es auch um Busse und Lkw sowie die dazugehörige Ladeinfrastruktur. All das sind relevante Themen. Die Union hat sich bei dem ganzen Themenkomplex genau einen Punkt rausgesucht, nämlich den sogenannten Umweltbonus. (",0
105322,Unsinn!,CDU/CSU,Hans Michelbach,SPD,Ludwig Eich,2002-02-20,56274," 16 Milliarden Mark, die wir überhaupt noch als Spielraum haben, und ich meine, dass wir jedenfalls einen Teil dieses Spielraums hernehmen müssen, um Wachstum anzustreben. Ich entnehme der Antwort Folgendes: Stoiber bedauert sehr, dass es keine beliebige Erhöhung der Staatsverschuldung geben kann. (",1
7395,Was wollen Sie denn  nun sagen?,SPD,Freimut Duve,CDU/CSU,Rudolf Kraus,1991-12-05,4392,"rzfristigen Anfall — ganz kurzfristig! — von Herrn Penner von Fairneß; das soll erwähnt werden. Man freut sich über die kleinste Kleinigkeit. Aber das hat nicht lange angehalten. Es ging  dann wieder über in das übliche Schema, mit dem  diese Debatte all die Wochen und Monate geführt  worden ist.  (",0
110779,Hört! Hört! ,CDU/CSU,<unknown>,CDU/CSU,Johannes Singhammer,2002-06-06,57902,"eine Lüge! Wo bleibt die Wahrheit?) Gleichzeitig können sich die Großunternehmen dank Steuersenkungen über einen Geldsegen freuen.  Durch die Steuerreform dieses Bundeskanzlers konnte die Familie Reemtsma ihre Firmenbeteiligungen für 6,7 Milliarden Euro verkaufen, ohne eine Mark Steuern zu zahlen.  ",0
444237,Nichts leichter als das!,GRÜNE,Harald Ebner,AfD,Karsten Hilse,2023-11-10,197942,"o: Davon zu sprechen, dass sich Kernenergie nicht durchsetzt, zumindest in den Industriestaaten, finde ich zumindest abenteuerlich. Wenn Sie mich mal aufklären könnten, wie Sie anhand bzw. entgegen diesen Zahlen letztendlich zu dieser Aussage kommen! Vielen Dank. (Beifall bei Abgeordneten der AfD – ",0
305498,"Das ist ein Geschäftsordnungsbericht, den wir debattieren!",GRÜNE,Katja Keul,CDU/CSU,Alexander Hoffmann,2016-03-17,137252," hier haben dem Grunde nach dasselbe Ziel. Wir wollen einen besseren Schutz von Frauen vor Vergewaltigung und sexuellem Missbrauch. Es wäre gut gewesen, Frau Keul, wenn Sie genau das herausgearbeitet hätten. Das wäre heute ein sehr gutes Signal an die Bürgerinnen und Bürger unseres Landes gewesen. (",0
291461,Hallo?,CDU/CSU,<unknown>,GRÜNE,Kordula Schulz-Asche,2015-02-26,130619,"äche auch mit Menschen mit Behinderung führen, weil sie Experten in eigener Sache sind. Viele der Forderungen, die von diesen Menschen erhoben werden, sind auch in unseren Antrag eingeflossen. Glauben Sie, dass Sie mit der Arroganz, mit der Sie in dieser Diskussion auf die Themen eingegangen sind,  ",0
203406,Ohne Nachdenken!,GRÜNE,<unknown>,CDU/CSU,Johannes Röring,2009-05-13,93868, Rede begeistert!) und diese Zukunftstechnologie zur Lösung der Probleme vieler Menschen in der Welt nach vorne bringen.  Der Antrag der Grünen besagt genau das Gegenteil. Deswegen kann ich diesen Antrag ohne Bedenken ablehnen. Johannes Röring(Beifall bei der CDU/CSU sowie bei Abgeordneten der FDP –,0
458235,Habt ihr mal mit  Herrn Vassiliadis gesprochen? Kennen Sie  den noch?,CDU/CSU,Jens Spahn,SPD,Gabriele Katzmarek,2024-04-11,202040,"ht geben. Was wir in der Ampel machen, ist, weiter dafür zu  sorgen, dass sich zukunftsfähige Industrien hier in  Deutschland ansiedeln. Ich habe Ihnen ein kleines Beispiel gegeben, (Tilman Kuban [CDU/CSU]: Alle anderen  wollen gehen!) es kommen noch viele weitere dazu. Das werden wir  fortsetzen. (",0
37512,Das alles ist  in nur 5 % der Entwicklungsländer geflos sen! Der Rest bekommt nichts!,SPD,Dr. Ingomar Hauchler,FDP,Dr. Irmgard Schwaetzer,1995-06-01,24035,"wicklungsländer von  1990 bis 1994 mit 137 Milliarden DM vervierfacht  hat. Der Ressourcenfluß der öffentlichen Mittel ist  gleichgeblieben, so daß die Steigerung der Mittel,  die in die Länder mit niedrigem und mittlerem Einkommen geflossen sind, im wesentlichen auf den privaten Mitteln beruhte.  (",0
430855,Wir gehen einen Kaffee trinken!,FDP,Manuel Höferlin,FDP,Dr. Ann-Veruschka Jurisch,2023-06-15,193716," einer seit Jahren festgefahrenen Debatte in diesem Themenfeld gelungen. Und wenn Herr Throm suggeriert, dass er noch mehr hätte heraushandeln können, dann würde ich mich gerne nachher mit Ihnen darüber unterhalten, wie. (Alexander Throm [CDU/CSU]: Geben Sie mir die Gelegenheit! – Gegenruf des Abg. ",0
214406,Legen Sie doch auch mal  etwas vor!,SPD,Elke Ferner,CDU/CSU,Rudolf Henke,2010-03-19,97944,"orgung eine Stärkung der steuerfinanzierten Anteile, oder brauchen wir eine Konzentration allein auf die Beitragsfinanzierung? Das ist die Kernfrage. (Zuruf von der SPD: So ist es!) Sie weigern sich natürlich, Ihr angeblich klug konstruiertes Modell auch nur ein einziges Mal konkret zu beschreiben,(",0
141756,Das ist die reine Wahrheit!,GRÜNE,Jerzy Montag,CDU/CSU,Dr. Wolfgang Götzer,2004-09-07,67601,"haben.  Wie sich das im Sommerinterview der Frau Justizministerin mit der „NJW“-Redaktion liest, möchte ich hier mit Genehmigung der Frau Präsidentin zitieren:  In nur fünf Monaten haben Bundesregierung, Bundestag und Bundesrat die Vorgaben des BVerfG zu diesem lang umstrittenen Problem umgesetzt. (",2
193563,Der war in  Ordnung?,CDU/CSU,Dr. Stephan Eisel,DIE LINKE,Monika Knoche,2008-09-17,89065,"usslands durch die NATO- Expansion.  (Dr. Stephan Eisel [CDU/CSU]: Es waren  doch russische Panzer, oder?) Es gilt, dem NATO-Weltordnungsanspruch eine Absage zu erteilen.  Russland muss aber auch deutlich kritisiert werden. Nicht der militärische Gegenschlag in Südossetien war völkerrechtswidrig,  (",0
354771,Brauchen die längst nicht mehr! Die sind ausgelastet!,FDP,Thomas L. Kemmerich,DIE LINKE,Matthias Höhn,2019-09-26,160360,"die fehlenden Exzellenzunis beklagt. Woran liegt das denn? Die kleinen und mittelständischen Unternehmen, gerade auch in Ostdeutschland, sind doch auf öffentliche Investitionen angewiesen. Von wem sollen sie denn die Aufträge bekommen, wenn nicht von der öffentlichen Hand? (Beifall bei der LINKEN – ",0
244603,"Danke, dass Sie sich  vor uns verneigen!",SPD,Aydan Özoğuz,CDU/CSU,Stephan Mayer,2011-11-10,109639,"die mittlerweile die deutsche Staatsangehörigkeit haben, haben sich ganz bewusst für die deutsche Staatsangehörigkeit entschieden und ihre türkische Staatsangehörigkeit aufgegeben. Ich glaube, gerade dieser Personenkreis zeigt, wie modern und erfolgreich das deutsche Staatsangehörigkeitsrecht ist. (",0
458923,Sie wollen  doch keine Überwachung!,CDU/CSU,Alexander Hoffmann,AfD,Eugen Schmidt,2024-04-12,202220," nicht am Ende sind. (Dr. Jonas Geissler [CDU/CSU]: Sie waren zu  viel in Russland! – Zuruf des Abg. Maximilian  Funke-Kaiser [FDP]) Die AfD unterstützt ausdrücklich die Digitalisierung.  Deutschland muss endlich damit beginnen, digitale Infrastruktur auszubauen und heimische Expertise zu fördern, (",0
42058,In Europa!,GRÜNE,Dr. Uschi Eid,CDU/CSU,von Waldburg-Zeil,1995-12-01,27051,"sich darauf zu konzentrieren, die  Staatskasse zu plündern und die Opposition auszulöschen. Fast 20 Milliarden DM, die das Land zwischen  1990 und 1994 aus dem Verkauf von Erdöl verdient  hat, sind auf Spezialkonten verschwunden, die von  Regierungsmitgliedern im Ausland eingerichtet worden sind.  (",0
138214,Was ist mit den Produktionsanlagen?,SPD,Ulrich Kelber,CDU/CSU,Dr. Peter Paziorek,2004-04-02,66225,"t einer solchen Polemik kommen zu können. Wir haben klar und deutlich gesagt: Wir wollen eine klare Übergangsfrist. Bis zum Jahr 2007 soll das jetzige Fördersystem weiter bestehen. Jeder, der mit seinen An-lagen bis Ende 2007 ans Netz geht, soll nach unseren Vorstellungen Bestandsschutz erfahren.  (",0
